"","id","date","u","v","u.se","v.se","x.se","y.se","s","s.se","geometry","dist_to_next_m","dis_to_next_km","timetilnext","lon","lat"
"72","181624",2022-09-12,0.011691266821281,-0.00352868539131596,6.23391200245888,6.23390810276969,149.612156417308,149.612062825851,0.0122120793167033,NA,c(-109.551976442691, 26.6932425637563),261.678047389002,0.261678047389002,24,-109.551976442691,26.6932425637563
"73","181624",2022-09-13,-0.0100258614164494,0.00181473969721323,6.23376770130281,6.23376380170388,0.00368633621685912,0.00368633580644529,0.0101887770247774,NA,c(-109.554137974981, 26.6935939959323),218.262523734683,0.218262523734683,24,-109.554137974981,26.6935939959323
"74","181624",2022-09-14,-0.061711141881805,0.0152751117675391,6.73041257380105,6.73040885525919,161.528032218169,161.527942974198,0.0635729146829885,NA,c(-109.56744250088, 26.6965520136798),1362.02106193321,1.36202106193321,24,-109.56744250088,26.6965520136798
"75","181624",2022-09-15,-0.0875540812211223,0.0220053756989174,6.73025677972223,6.73025306126645,0.00375309899901832,0.0037530985811787,0.0902770939856928,NA,c(-109.586318781524, 26.700813250681),1934.10231567133,1.93410231567133,24,-109.586318781524,26.700813250681
"76","181624",2022-09-16,-0.0875540812245842,0.0220053756998189,16.2484495902796,16.2484480500605,389.958276722957,389.958239758126,0.0902770939892911,NA,c(-109.605195062169, 26.7050743265833),1934.02992332767,1.93402992332767,-1992,-109.605195062169,26.7050743265833
"77","181625",2022-06-25,-1.97080314588558e-14,1.07273728916623e-14,9.99999999999348e-06,9.99999999999348e-06,9.99995409694712e-06,9.9999540969694e-06,9.88131291682493e-323,NA,c(-150.9251709, 61.2120209),4914445.65078192,4914.44565078192,24,-150.9251709,61.2120209
"78","181625",2022-06-26,-0.0173128443992806,0.00942363991343049,6.46773510854229,6.46773886582922,155.223846038526,155.223936212369,0.0197111789746244,NA,c(-150.928903431056, 61.2130008059902),227.638641297644,0.227638641297644,24,-150.928903431056,61.2130008059902
"79","181625",2022-06-27,-0.0276675853159093,0.0150778558547195,6.06727424430448,6.06727587211063,234.3845137983,234.384695697151,0.0315093163127212,NA,c(-150.934868442599, 61.2145686134092),363.877383591473,0.363877383591473,24,-150.934868442599,61.2145686134092
"80","181625",2022-06-28,-0.0310641422140302,0.0169626041950202,5.48804640118441,5.48804644681432,234.385497624413,234.385634009174,0.0353936558252983,NA,c(-150.941565737097, 61.2163323048367),408.713504005978,0.408713504005978,24,-150.941565737097,61.2163323048367
"81","181625",2022-06-29,-0.0275025150936432,0.0150778849343325,6.06724772944569,6.06725069346352,155.226713064182,155.226757795419,0.0313644854997671,NA,c(-150.947495160216, 61.2178999488468),362.167683411682,0.362167683411682,24,-150.947495160216,61.2178999488468
"82","181625",2022-06-30,-0.0169827039547482,0.00942369807265647,6.46770485206202,6.46770671584199,0.00375766713874868,0.00375766808979395,0.0194221090265218,NA,c(-150.951156557623, 61.2188796886607),224.260744922477,0.224260744922477,24,-150.951156557623,61.2188796886607
"83","181625",2022-07-01,0.00049537173625973,-1.76002279319928e-11,0.000194475857883426,0.000194475905084031,0.00330033249386526,0.00330033329487542,0.000495169453375753,NA,c(-150.951049801236, 61.2188796999994),5.71536744065364,0.00571536744065364,24,-150.951049801236,61.2188796999994
"84","181625",2022-07-02,0.0349332973037119,-0.0654281073847015,3.88238287973499,3.88238415980866,93.1761106773179,93.1761413987306,0.0741690336926555,NA,c(-150.943518419596, 61.2120768793708),857.210972173595,0.857210972173595,24,-150.943518419596,61.2120768793708
"85","181625",2022-07-03,0.0833310418922986,0.00386318164937298,3.88229301147666,3.8822942915207,0.00347207065932847,0.00347207153117545,0.0834205413232316,NA,c(-150.925552607939, 61.2124785953513),963.065564634984,0.963065564634984,24,-150.925552607939,61.2124785953513
"86","181625",2022-07-04,0.145688928645577,0.207876985614719,3.94155879442551,3.94155931491121,94.5963161897281,94.5963286812402,0.253844269389037,NA,c(-150.894142861625, 61.234087020675),2932.5919472465,2.9325919472465,24,-150.894142861625,61.234087020675
"87","181625",2022-07-05,0.278818059723507,0.109396816511497,3.94146755614587,3.94146807661951,0.00347721158297844,0.0034772123887922,0.299511558869056,NA,c(-150.834030895739, 61.2454527684729),3455.46060966469,3.45546060966469,24,-150.834030895739,61.2454527684729
"88","181625",2022-07-06,0.482720073356947,-0.291584327894166,4.02548306699356,4.02548331488813,96.6104754213865,96.6104813707874,0.563946012463009,NA,c(-150.729959047723, 61.2151500417893),6509.55689397905,6.50955689397905,24,-150.729959047723,61.2151500417893
"89","181625",2022-07-07,-0.476763580239771,0.288602923018295,4.02538988623243,4.02539013412126,0.00348462180800319,0.00348462258872868,0.557310647921344,NA,c(-150.832747210324, 61.2451435530221),6433.00586239154,6.43300586239154,24,-150.832747210324,61.2451435530221
"90","181625",2022-07-08,-2.59965983145576,1.84998128165221,6.20282403689932,6.20282444448866,148.866053901612,148.866063683643,3.19068446771689,NA,c(-151.393217311554, 61.4367236883279),36703.6480890502,36.7036480890502,24,-151.393217311554,61.4367236883279
"91","181625",2022-07-09,-2.40912951224776,1.73428599701908,5.19636176795456,5.19635999458691,196.255919877292,196.255890623657,2.96844284593664,NA,c(-151.912615198599, 61.6152589538148),33945.2378857184,33.9452378857184,24,-151.912615198599,61.6152589538148
"92","181625",2022-07-10,0.0948541536204645,-0.0585023418117786,5.19632907200753,5.19633009137037,148.868748638931,148.868697582008,0.111444310446958,NA,c(-151.892165054067, 61.6092532146173),1270.74396551793,1.27074396551793,24,-151.892165054067,61.6092532146173
"93","181625",2022-07-11,4.91229116614892,-3.52838373484037,6.20279273396212,6.20279060661498,0.00372304498900446,0.00372304542614982,6.0481481690251,NA,c(-150.833096357862, 61.244869642197),69381.7416784023,69.3817416784023,24,-150.833096357862,61.244869642197
"94","181625",2022-07-12,12.0432083011081,-8.67537759264126,4.02554171086538,4.02554185362836,96.6118828526156,96.6118862788873,14.8424398585175,NA,c(-148.236650611136, 60.3306537989393),173727.132960549,173.72713296055,24,-148.236650611136,60.3306537989393
"95","181625",2022-07-13,25.5516216908538,-27.5031078964473,4.02544852823592,4.02544867099559,0.0034846277814016,0.00348462855926706,37.5407287460302,NA,c(-142.727831659663, 57.255190894647),466263.742842009,466.263742842009,24,-142.727831659663,57.255190894647
"96","181625",2022-07-14,45.4376789631586,-60.0118913315806,3.94326978102209,3.94327001109276,94.6373793925142,94.6373849141464,75.2724630684854,NA,c(-132.931714523386, 49.5502338837735),1072850.45083019,1072.85045083019,24,-132.931714523386,49.5502338837735
"97","181625",2022-07-15,40.6759073419408,-57.3008513838333,3.94317850311271,3.94317873317806,0.00347736128784841,0.00347736207420549,70.2703138501332,NA,c(-124.162165099769, 40.8411577888135),1185689.80495267,1185.68980495267,24,-124.162165099769,40.8411577888135
"98","181625",2022-07-16,11.2657362714496,-19.369172772965,3.94082369190246,3.94082463595661,94.5786739332184,94.578696590256,22.4077295706305,NA,c(-121.733247773368, 37.59372175197),417300.122676004,417.300122676004,24,-121.733247773368,37.59372175197
"99","181625",2022-07-17,-2.30599146666016,-0.466853394582401,3.94073247062475,3.94073341465705,0.00347714731791331,0.00347714816116457,2.35277469113937,NA,c(-122.230409545135, 37.5135889272614),44723.1405213867,44.7231405213867,24,-122.230409545135,37.5135889272614
"100","181625",2022-07-18,-0.0389092363320301,-0.594333750379605,3.94082392704272,3.94082392565727,94.5786795765246,94.5786795432742,0.595606262829899,NA,c(-122.23880386555, 37.4114493862045),11381.556766892,11.381556766892,24,-122.23880386555,37.4114493862045
"101","181625",2022-07-19,-0.0291056960320381,0.621752520727183,3.94073270576006,3.94073270437464,0.0034771473386419,0.00347714809891762,0.622433400627055,NA,c(-122.245078927438, 37.5182978642369),11893.9284903619,11.8939284903619,24,-122.245078927438,37.5182978642369
"102","181625",2022-07-20,-2.27663310000587,3.18143652254652,3.94326993774657,3.94327087802761,94.6373831540418,94.6374057205256,3.91206974466605,NA,c(-122.735905553812, 38.0626100961535),74319.8134700617,74.3198134700617,24,-122.735905553812,38.0626100961535
"103","181625",2022-07-21,2.27346627702037,-3.18898181333191,3.94317865985068,3.94317960010995,0.00347736128113195,0.00347736212455017,3.91640829091493,NA,c(-122.245756073003, 37.5169970384417),74403.4159300659,74.4034159300659,24,-122.245756073003,37.5169970384417
