event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23733298255,TRUE,2022-06-10,-156.6179962,58.6871414,,,48,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",32.42010934,1.210881978,3.341363068,-0.064515331
23357225816,TRUE,2022-07-11,-151.021149,61.211277,,3D,48,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",41.94553548,NaN,NaN,NaN
23733298258,TRUE,2022-06-25,-156.6179657,58.6871681,,,47,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",31.42008863,NaN,NaN,NaN
23357225818,TRUE,2022-07-15,-151.025299,61.211277,,3D,47,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",40.93486953,NaN,NaN,NaN
23733296234,TRUE,2022-06-15,-156.8725128,58.6745987,,,46,,,,,,,gps,Limnodromus griseus,233819,129231926,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",30.53186298,NaN,NaN,NaN
23733297890,TRUE,2022-06-15,-156.7146606,58.7175827,,,46,,,,,,,gps,Limnodromus griseus,233820,129231937,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",30.44567427,NaN,NaN,NaN
23733305326,TRUE,2022-06-10,-156.6227875,58.6897774,,,46,,,,,,,gps,Limnodromus griseus,233824,129231999,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",30.42088041,1.198954344,3.34006997,-0.065108483
23733305327,TRUE,2022-06-15,-156.6179199,58.6878319,,,46,,,,,,,gps,Limnodromus griseus,233824,129231999,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",30.41983018,NaN,NaN,NaN
23733286203,TRUE,2022-06-25,-150.4843445,61.2573586,,,46,,,,,,,gps,Limnodromus griseus,233812,123233511,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",38.37793492,NaN,NaN,NaN
23733298256,TRUE,2022-06-15,-156.6179962,58.6871414,,,45,,,,,,,gps,Limnodromus griseus,233821,129232000,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",29.42010934,NaN,NaN,NaN
